id,date,rxl,cid,lac,rnc
28029,1259994636346,-93,16537,27,0
28030,1259994636697,-93,16537,27,0
28031,1259994637016,-93,16537,27,0
28032,1259994637346,-93,16537,27,0
28033,1259994637696,-93,16537,27,0
28034,1259994638016,-93,16537,27,0
28035,1259994638356,-93,16537,27,0
28036,1259994638696,-93,16537,27,0
28037,1259994639016,-93,16537,27,0
28038,1259994639356,-93,16537,27,0
28039,1259994639687,-93,16537,27,0
28040,1259994640016,-93,16537,27,0
28041,1259994640356,-93,16537,27,0
28042,1259994640687,-93,16537,27,0
28043,1259994641026,-93,16537,27,0
28044,1259994641356,-93,16537,27,0
28045,1259994641696,-93,16537,27,0
28046,1259994642026,-93,16537,27,0
28047,1259994642356,-93,16537,27,0
28048,1259994642696,-93,16537,27,0
28049,1259994643027,-93,16537,27,0
28050,1259994643366,-93,16537,27,0
28051,1259994643707,-93,16537,27,0
28052,1259994644026,-93,16537,27,0
28053,1259994644366,-93,16537,27,0
28054,1259994644706,-93,16537,27,0
28055,1259994645036,-93,16537,27,0
28056,1259994645366,-93,16537,27,0
28057,1259994645706,-93,16537,27,0
28058,1259994646036,-93,16537,27,0
28059,1259994646366,-93,16537,27,0
28060,1259994646706,-93,16537,27,0
28061,1259994647036,-93,16537,27,0
28062,1259994647366,-93,16537,27,0
28063,1259994647706,-93,16537,27,0
28064,1259994648036,-93,16537,27,0
28065,1259994648377,-93,16537,27,0
28066,1259994648706,-93,16537,27,0
28067,1259994649036,-93,16537,27,0
28068,1259994649367,-93,16537,27,0
28069,1259994649706,-93,16537,27,0
28070,1259994650036,-93,16537,27,0
28071,1259994650376,-93,16537,27,0
28072,1259994650706,-93,16537,27,0
28073,1259994651046,-93,16537,27,0
28074,1259994651376,-93,16537,27,0
28075,1259994651716,-93,16537,27,0
28076,1259994652046,-93,16537,27,0
28077,1259994652377,-93,16537,27,0
28078,1259994652717,-93,16537,27,0
28079,1259994653046,-93,16537,27,0
28080,1259994653386,-93,16537,27,0
28081,1259994653717,-93,16537,27,0
28082,1259994654046,-93,16537,27,0
28083,1259994654386,-93,16537,27,0
28084,1259994654717,-93,16537,27,0
28085,1259994655046,-93,16537,27,0
28086,1259994655386,-93,16537,27,0
28087,1259994655717,-93,16537,27,0
28088,1259994656056,-93,16537,27,0
28089,1259994656386,-93,16537,27,0
28090,1259994656727,-93,16537,27,0
28091,1259994657056,-93,16537,27,0
28092,1259994657396,-93,16537,27,0
28093,1259994657726,-93,16537,27,0
28094,1259994658057,-93,16537,27,0
28095,1259994658397,-93,16537,27,0
28096,1259994658726,-93,16537,27,0
28097,1259994659056,-93,16537,27,0
28098,1259994659396,-93,16537,27,0
28099,1259994659726,-93,16537,27,0
28100,1259994660115,-93,16537,27,0
28101,1259994660397,-93,16537,27,0
28102,1259994660726,-93,16537,27,0
28103,1259994661066,-93,16537,27,0
28104,1259994661396,-93,16537,27,0
28105,1259994661736,-93,16537,27,0
28106,1259994662066,-93,16537,27,0
28107,1259994662406,-93,16537,27,0
28108,1259994662736,-93,16537,27,0
28109,1259994663066,-93,16537,27,0
28110,1259994663406,-93,16537,27,0
